gene;locus_tag;product
NA;NWMN_0248;branched-chain amino acid transport system II carrier protein
NA;NWMN_0249;5'-nucleotidase%2C lipoprotein e(P4) family protein
NA;NWMN_0250;ABC transporter%2C permease protein
NA;NWMN_0251;ABC transporter ATP-binding protein
NA;NWMN_0252;conserved hypothetical protein
NA;NWMN_0253;conserved hypothetical protein
NA;NWMN_0254;conserved hypothetical protein
NA;NWMN_0255;conserved hypothetical protein
NA;NWMN_0256;conserved hypothetical protein
nanA;NWMN_0257;N-acetylneuraminate lyase
NA;NWMN_0258;conserved hypothetical protein
NA;NWMN_0259;conserved hypothetical protein
nanE;NWMN_0260;N-acetylmannosamine-6-phosphate 2-epimerase
NA;NWMN_0261;conserved hypothetical protein
geh;NWMN_0262;truncated triacylglycerol lipase precursor
int;NWMN_0263;integrase
NA;NWMN_0264;conserved hypothetical protein
NA;NWMN_0265;conserved hypothetical protein
NA;NWMN_0266;conserved hypothetical protein
NA;NWMN_0267;conserved hypothetical protein
NA;NWMN_0268;phage anti-repressor protein
NA;NWMN_0269;conserved hypothetical protein
NA;NWMN_0270;conserved hypothetical protein
NA;NWMN_0271;conserved hypothetical protein
NA;NWMN_0272;conserved hypothetical protein
NA;NWMN_0273;conserved hypothetical protein
NA;NWMN_0274;conserved hypothetical protein
NA;NWMN_0275;conserved hypothetical protein
NA;NWMN_0276;conserved hypothetical protein
NA;NWMN_0277;conserved hypothetical protein
NA;NWMN_0278;conserved hypothetical protein
NA;NWMN_0279;conserved hypothetical protein
NA;NWMN_0280;conserved hypothetical protein
NA;NWMN_0281;conserved hypothetical protein
NA;NWMN_0282;conserved hypothetical protein
NA;NWMN_0283;conserved hypothetical protein
NA;NWMN_0284;conserved hypothetical protein
NA;NWMN_0285;conserved hypothetical protein
NA;NWMN_0286;conserved hypothetical protein
NA;NWMN_0287;conserved hypothetical protein
NA;NWMN_0288;conserved hypothetical protein
NA;NWMN_0289;phage terminase large subunit
NA;NWMN_0290;phage portal protein
NA;NWMN_0291;conserved hypothetical protein
NA;NWMN_0292;conserved hypothetical protein
NA;NWMN_0293;conserved hypothetical protein
NA;NWMN_0294;phage major head protein
NA;NWMN_0295;conserved hypothetical protein
NA;NWMN_0296;conserved hypothetical protein
NA;NWMN_0297;conserved hypothetical protein
NA;NWMN_0298;conserved hypothetical protein
NA;NWMN_0299;conserved hypothetical protein
NA;NWMN_0300;conserved hypothetical protein
NA;NWMN_0301;conserved hypothetical protein
NA;NWMN_0302;phage tape measure protein
NA;NWMN_0303;conserved hypothetical protein
NA;NWMN_0304;phage minor structural protein
NA;NWMN_0305;conserved hypothetical protein
NA;NWMN_0306;conserved hypothetical protein
NA;NWMN_0307;conserved hypothetical protein
NA;NWMN_0308;conserved hypothetical protein
NA;NWMN_0309;phage N-acetylglucosamidase
NA;NWMN_0310;phage tail fiber
NA;NWMN_0311;conserved hypothetical protein
NA;NWMN_0312;phage holin
NA;NWMN_0313;amidase
NA;NWMN_0314;conserved hypothetical protein
NA;NWMN_0315;NADH-dependent flavin oxidoreductase Oye family protein
NA;NWMN_0316;conserved hypothetical protein
NA;NWMN_0317;conserved hypothetical protein
NA;NWMN_0318;conserved hypothetical protein
NA;NWMN_0319;conserved hypothetical protein
NA;NWMN_0320;lipoate-protein ligase A family protein
NA;NWMN_0321;oxidoreductase family protein
NA;NWMN_0322;ascorbate-specific PTS system enzyme IIC
NA;NWMN_0323;conserved hypothetical protein
NA;NWMN_0324;conserved hypothetical protein
NA;NWMN_0325;conserved hypothetical protein
NA;NWMN_0326;MarR family regulatory protein
NA;NWMN_0327;MATE efflux family protein
NA;NWMN_0328;conserved hypothetical protein
NA;NWMN_0329;glycerol-3-phosphate transporter
NA;NWMN_0330;glyoxalase family protein
NA;NWMN_0331;luciferase-like monooxygenase
NA;NWMN_0332;NADH-dependent FMN reductase
NA;NWMN_0333;conserved hypothetical protein
NA;NWMN_0334;conserved hypothetical protein
NA;NWMN_0335;conserved hypothetical protein
NA;NWMN_0336;conserved hypothetical protein
NA;NWMN_0337;conserved hypothetical protein
NA;NWMN_0338;conserved hypothetical protein
NA;NWMN_0339;conserved hypothetical protein
tatA;NWMN_0340;twin-arginine translocation protein TatA
NA;NWMN_0341;conserved hypothetical protein
NA;NWMN_0342;conserved hypothetical protein
NA;NWMN_0343;ABC transporter%2C ATP-binding protein
NA;NWMN_0344;conserved hypothetical protein
NA;NWMN_0345;conserved hypothetical protein
NA;NWMN_0346;acetyl-CoA acetyltransferase
NA;NWMN_0347;conserved hypothetical protein
metE;NWMN_0348;5-methyltetrahydropteroyltriglutamate-homocystein e S-methyltransferase
metH;NWMN_0349;5-methyltetrahydrofolate-homocysteine methyltransferase
NA;NWMN_0350;trans-sulfuration enzyme family protein
NA;NWMN_0351;Cys/Met metabolism PLP-dependent enzyme
NA;NWMN_0352;conserved hypothetical protein
NA;NWMN_0353;chromosome partioning ParB family protein
NA;NWMN_0354;conserved hypothetical protein
NA;NWMN_0355;conserved hypothetical protein
NA;NWMN_0356;conserved hypothetical protein
rpsF;NWMN_0357;30S ribosomal protein S6
NA;NWMN_0358;single-strand DNA-binding family protein
rpsR;NWMN_0359;30S ribosomal protein S18
NA;NWMN_0360;conserved hypothetical protein
NA;NWMN_0361;conserved hypothetical protein
NA;NWMN_0362;conserved hypothetical protein
NA;NWMN_0363;conserved hypothetical protein
NA;NWMN_0364;conserved hypothetical protein
NA;NWMN_0365;conserved hypothetical protein
NA;NWMN_0366;conserved hypothetical protein
NA;NWMN_0367;phosphoglycerate mutase family protein
NA;NWMN_0368;conserved hypothetical protein
NA;NWMN_0369;conserved hypothetical protein
NA;NWMN_0370;conserved hypothetical protein
ahpF;NWMN_0371;alkyl hydroperoxide reductase subunit F
ahpC;NWMN_0372;alkyl hydroperoxide reductase subunit C
NA;NWMN_0373;nitroreductase family protein
NA;NWMN_0374;sodium:dicarboxylate symporter family protein
NA;NWMN_0375;conserved hypothetical protein
NA;NWMN_0376;conserved hypothetical protein
NA;NWMN_0377;conserved hypothetical protein
NA;NWMN_0378;xanthine phosphoribosyltransferase
pbuX;NWMN_0379;xanthine/uracil permease
guaB;NWMN_0380;inosine-5'-monophosphate dehydrogenase
guaA;NWMN_0381;glutamine-hydrolyzing GMP synthase
NA;NWMN_0382;conserved hypothetical protein
NA;NWMN_0383;conserved hypothetical protein
tnp;NWMN_0384;transposase
NA;NWMN_0385;conserved hypothetical protein
NA;NWMN_0386;conserved hypothetical protein
NA;NWMN_0387;conserved hypothetical protein
ssl1nm;NWMN_0388;staphylococcal enterotoxin-like toxin
ssl2nm;NWMN_0389;staphylococcal enterotoxin-like toxin
ssl3nm;NWMN_0390;staphylococcal enterotoxin-like toxin
ssl4nm;NWMN_0391;staphylococcal enterotoxin-like toxin
ssl5nm;NWMN_0392;staphylococcal enterotoxin-like toxin
ssl6nm;NWMN_0393;staphylococcal enterotoxin-like toxin
ssl7nm;NWMN_0394;staphylococcal enterotoxin-like toxin
ssl8nm;NWMN_0395;staphylococcal enterotoxin-like toxin
ssl9nm;NWMN_0396;staphylococcal enterotoxin-like toxin
ssl10;NWMN_0397;staphylococcal enterotoxin-like toxin
hsdM;NWMN_0398;type I restriction-modification system%2C methyltransferase subunit
hsdS;NWMN_0399;type I restriction modification system%2C site specificity determination subunit
ssl11nm;NWMN_0400;staphylococcal enterotoxin-like toxin
NA;NWMN_0401;conserved hypothetical protein
NA;NWMN_0402;conserved hypothetical protein
lpl1nm;NWMN_0403;staphylococcal tandem lipoprotein
lpl2nm;NWMN_0404;staphylococcal tandem lipoprotein
NA;NWMN_0405;truncated staphylococcal tandem lipoprotein
lpl3nm;NWMN_0406;staphylococcal tandem lipoprotein
lpl4nm;NWMN_0407;staphylococcal tandem lipoprotein
lpl5nm;NWMN_0408;staphylococcal tandem lipoprotein
lpl6nm;NWMN_0409;staphylococcal tandem lipoprotein
lpl7nm;NWMN_0410;staphylococcal tandem lipoprotein
lpl8nm;NWMN_0411;staphylococcal tandem lipoprotein
lpl9nm;NWMN_0412;staphylococcal tandem lipoprotein
NA;NWMN_0413;conserved hypothetical protein
NA;NWMN_0414;conserved hypothetical protein
NA;NWMN_0415;conserved hypothetical protein
NA;NWMN_0416;conserved hypothetical protein
cobW;NWMN_0417;cobalamin synthesis protein
ndhF;NWMN_0418;NADH dehydrogenase subunit 5
NA;NWMN_0419;conserved hypothetical protein
NA;NWMN_0420;conserved hypothetical protein
NA;NWMN_0421;conserved hypothetical protein
NA;NWMN_0422;conserved hypothetical protein
NA;NWMN_0423;sodium-dependent symporter protein
cysM;NWMN_0424;cysteine synthase
metB;NWMN_0425;cystathionine gamma-synthase
NA;NWMN_0426;ABC transporter%2C ATP-binding protein
NA;NWMN_0427;ABC transporter%2C permease protein
NA;NWMN_0428;ABC transporter%2C substrate-binding protein
NA;NWMN_0429;N-acetylmuramoyl-L-alanine amidase aaa precursor
NA;NWMN_0430;conserved hypothetical protein
NA;NWMN_0431;MutT domain containing protein
NA;NWMN_0432;conserved hypothetical protein
NA;NWMN_0433;conserved hypothetical protein
NA;NWMN_0434;conserved hypothetical protein
gltC;NWMN_0435;transcription activator of glutamate synthase operon
gltB;NWMN_0436;glutamate synthase%2C large subunit
gltD;NWMN_0437;glutamate synthase%2C small subunit
treP;NWMN_0438;PTS system%2C trehalose-specific IIBC component
treC;NWMN_0439;alpha%2Calpha-phosphotrehalase
treR;NWMN_0440;trehalose operon repressor
NA;NWMN_0441;acetyltransferase%2C GNAT family protein
dnaX;NWMN_0442;DNA polymerase III gamma subunit
NA;NWMN_0443;conserved hypothetical protein
recR;NWMN_0444;recombination protein RecR
tmk;NWMN_0445;conserved hypothetical protein
NA;NWMN_0446;thymidylate kinase
NA;NWMN_0447;conserved hypothetical protein
holB;NWMN_0448;DNA polymerase III delta subunit
NA;NWMN_0449;conserved hypothetical protein
NA;NWMN_0450;initiation-control protein
NA;NWMN_0451;conserved hypothetical protein
NA;NWMN_0452;conserved hypothetical protein
metS;NWMN_0453;methionyl-tRNA synthetase
NA;NWMN_0454;TatD related DNase
NA;NWMN_0455;conserved hypothetical protein
ksgA;NWMN_0456;dimethyladenosine transferase
veg;NWMN_0457;Veg protein
NA;NWMN_0458;conserved hypothetical protein
purR;NWMN_0459;pur operon repressor
NA;NWMN_0460;conserved hypothetical protein
spoVG;NWMN_0461;stage V sporulation protein G homolog
gcaD;NWMN_0462;UDP-N-acetylglucosamine pyrophosphorylase
prs;NWMN_0463;ribose-phosphate pyrophosphokinase
rplY;NWMN_0464;50S ribosomal protein L25
pth;NWMN_0465;peptidyl-tRNA hydrolase
mfd;NWMN_0466;transcription-repair coupling factor
NA;NWMN_0467;conserved hypothetical protein
NA;NWMN_0468;conserved hypothetical protein
divIC;NWMN_0469;cell-division initiation protein
NA;NWMN_0470;polyribonucleotide nucleotidyltransferase
tilS;NWMN_0471;isoleusyl-tRNA-2-lysl-cytidine synthase
hpt;NWMN_0472;hypoxanthine phosphoribosyltransferase
ftsH;NWMN_0473;ATP-dependent metalloprotease FtsH
NA;NWMN_0474;33 KDa heat-shock protein
NA;NWMN_0475;cysteine synthase homolog
folP;NWMN_0476;dihydropteroate synthase chain A
folB;NWMN_0477;dihydroneopterin aldolase
folK;NWMN_0478;2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
lysS;NWMN_0479;lysyl-tRNA synthetase%2C class-2
NA;NWMN_0480;GntR family regulatory protein
NA;NWMN_0481;pyridoxine biosynthesis protein
NA;NWMN_0482;conserved hypothetical protein
nupC;NWMN_0483;pyrimidine nucleoside transport protein
ctsR;NWMN_0484;transcriptional regulator CtsR
NA;NWMN_0485;UvrB/UvrC motif domain protein
NA;NWMN_0486;ATP:guanido phosphotransferase
clpC;NWMN_0487;ATP-dependent Clp protease%2C ATP-binding subunit ClpC
radA;NWMN_0488;DNA repair protein RadA
